country,city,line,phase,start_year,end_year,is_regional_rail,length_km,tunnel_pct,tunnel_km,num_stations,is_anglo,ppp_rate,real_cost_2023_musd,cost_per_km_2023_musd
AE,Dubai,Phase 1,Phase 1 - Red Line,2005.0,2010.0,0.0,35.0,0.13428571428571429,4.7,29.0,0.0,1.8,11794.916129032257,336.9976036866359
AE,Dubai,Phase 2,Phase 2 - Green Line,2006.0,2010.0,0.0,22.5,0.35111111111111115,7.9,20.0,0.0,1.9,10338.103571428572,459.4712698412699
AE,Dubai,Red Line,Phase 3 (Red Line Extension/Route 2020),2016.0,2020.0,0.0,15.0,0.21333333333333335,3.2,7.0,0.0,1.9,6995.246055323387,466.34973702155906
AR,Buenos Aires,RER,RER,2020.0,2026.0,1.0,20.0,1.0,20.0,4.0,0.0,2.02,4646.0,232.3
AT,Vienna,va,Lainz Tunnel,1999.0,2012.0,1.0,12.8,1.0,12.8,0.0,0.0,1.25,2535.2828981054786,198.06897641449052
AT,Vienna,Line 2,Line 2 extension,2010.0,2013.0,0.0,4.2,0.0,0.0,3.0,0.0,1.3,552.087737484429,131.4494613058164
AT,Vienna,Line 1,Line 1 extension,2012.0,2017.0,0.0,4.7,0.57,2.7,5.0,0.0,1.3,1002.7447820198552,213.34995362124576
AT,Vienna,U2/U5 cross,U2/U5 cross,2019.0,2029.0,0.0,9.0,1.0,9.0,11.0,0.0,1.3,2860.0,317.77777777777777
AU,Melbourne,Metro Tunnel,Metro Tunnel,2018.0,2025.0,0.0,9.0,1.0,9.0,5.0,1.0,0.69,9764.178232542346,1084.908692504705
AU,Perth,Forrestfield-Airport Link,Forrestfield-Airport Link,2016.0,2021.0,1.0,8.5,1.0,8.5,3.0,1.0,0.69,1557.322363773212,183.21439573802493
AU,Sydney,Metro NW,Metro NW,2013.0,2019.0,0.0,36.0,0.42,15.1,13.0,1.0,0.69,6832.743061660702,189.79841837946393
AU,Sydney,Metro City & SW,Metro City & SW,2017.0,2024.0,0.0,30.0,0.51,15.3,7.0,1.0,0.69,12026.378898032992,400.8792966010997
BD,Dhaka,Line 6,Line 6,2015.0,2022.0,0.0,21.3,0.0,0.0,16.0,0.0,0.032,12765.835905451444,599.3350190352791
BD,Dhaka,Line 1,Line 1,2020.0,2026.0,0.0,31.2,0.64,19.9,19.0,0.0,0.032,16819.52,539.0871794871795
BD,Dhaka,Line 5,Line 5,2020.0,2028.0,0.0,19.6,0.7,14.0,14.0,0.0,0.032,13196.16,673.2734693877551
BE,Brussels,Line 3,Line 3,2020.0,2028.0,0.0,4.8,1.0,4.8,7.0,0.0,1.3,3380.0,704.1666666666667
BG,Sofia,Line 2,Line 2,2008.0,2012.0,0.0,17.0,0.9,15.3,11.0,0.0,3.32,4416.541298015189,259.7965469420699
BG,Sofia,Line 1,Line 1 southern,2013.0,2015.0,0.0,3.0,1.0,3.0,3.0,0.0,3.32,188.0190091916734,62.67300306389113
BG,Sofia,Line 2,Line 2 extension,2012.0,2016.0,0.0,1.3,1.0,1.3,1.0,0.0,3.32,89.73634529602595,69.02795792001996
BG,Sofia,Line 3,Line 3,2016.0,2021.0,0.0,12.0,1.0,12.0,12.0,0.0,3.32,2014.3019509611438,167.85849591342867
BG,Sofia,Line 3,Line 3 extension (Third Stage),2021.0,2026.0,0.0,3.1,1.0,3.1,4.0,0.0,3.32,419.99556039413955,135.4824388368192
BG,Sofia,Line 1,Line 1 northern,2009.0,,0.0,5.1,0.6,3.1,4.0,0.0,1.69,961.1438192941262,188.459572410613
BH,Bahrain,Phase 1,Phase 1 (Red & Blue),2018.0,2023.0,1.0,28.6,0.0,0.0,20.0,0.0,5.0,2699.515483636278,94.38865327399573
BH,Bahrain,Phase 2,Phase 2,2020.0,,1.0,72.7,0.0,0.0,,0.0,5.0,10480.174817478079,144.15646241372872
BR,Rio de Janeiro,Line 4,Line 4,2010.0,2016.0,0.0,16.0,0.96,15.4,7.0,0.0,0.59,7948.565846915955,496.7853654322472
BR,Salvador,Lines 1-2,Lines 1-2,2000.0,2017.0,0.0,33.0,0.04,1.4,20.0,0.0,0.62,3949.5507373886076,119.68335567844267
BR,Salvador,SkyRail Bahia,SkyRail Bahia,2020.0,2022.0,0.0,23.3,0.0,0.0,26.0,0.0,2.3,1781.9731313429527,76.4795335340323
BR,Sao Paulo,Line 5,Line 5 extension,2010.0,2019.0,0.0,12.0,1.0,12.0,11.0,0.0,0.55,4884.529982765613,407.04416523046774
BR,Sao Paulo,Line 17,Line 17,2012.0,2021.0,0.0,7.7,0.0,0.0,8.0,0.0,2.3,3795.9683675892784,492.9829048817245
BR,Sao Paulo,Line 6,Line 6 phase 1,2015.0,2023.0,0.0,15.9,0.84,13.4,15.0,0.0,0.44,4972.977377313948,312.76587278704073
CA,Calgary,Green Line,Green Line stage 1,2021.0,2027.0,0.0,20.0,0.2,4.0,15.0,1.0,0.84,4620.0,231.0
CA,Edmonton,Valley Line Southeast,Southeast,2016.0,2023.0,0.0,13.1,0.03,0.4,12.0,1.0,0.802,1720.5388751334797,131.33884543003663
CA,Edmonton,Metro Line Extension,Northwest Phase 1,2020.0,2024.0,0.0,1.6,0.0,0.0,2.0,1.0,0.81,277.5048526530944,173.440532908184
CA,Edmonton,Valley Line Extension,West,2022.0,2028.0,0.0,14.0,0.0,0.0,14.0,1.0,0.88,2473.806878406315,176.70049131473678
CA,Hamilton,Hamilton LRT,Phase 1,2025.0,2029.0,0.0,14.0,0.0,0.0,17.0,,1.0,3400.0,242.85714285714286
